count_B1,count_B2,count_delta,share_B1,share_B2,tool_name
806,1040,234,0.7294117647058823,0.7525325615050651,Bash
20,18,-2,0.01809954751131222,0.013024602026049204,Edit
1,0,-1,0.0009049773755656109,0.0,KillShell
153,130,-23,0.13846153846153847,0.09406657018813314,Read
5,4,-1,0.004524886877828055,0.002894356005788712,TaskOutput
104,151,47,0.09411764705882353,0.10926193921852388,TodoWrite
16,39,23,0.014479638009049774,0.028219971056439943,Write
1105,1382,277,1.0,1.0,__TOTAL__
