cve_id,cell,stratum,project,builder_pass,exploiter_pass,fixer_pass,end_to_end_pass,effective_pass_source,total_cost_usd,wallclock_seconds,event_count,input_tokens,output_tokens,cache_read_tokens,tool_calls_total,security_tool_adoption,security_tool_invocations,redundancy_intra,redundancy_sibling,redundancy_hierarchy,redundancy_rate_total,audit_violations,workspace_has_patch,total_agents,agents_boss,agents_manager,agents_worker,max_depth,max_children_per_node,termination_reason
njs.cve-2022-38890,B1,EASY,njs,False,False,False,False,mechanical,0.0,30.192957,5,0,0,0,0,False,0,0,0,0,,0,False,1,1,0,0,0,0,completed
openjpeg.cve-2016-7445,B1,MEDIUM,openjpeg,False,False,False,False,mechanical,4.31978535,859.794546,360,242801,36179,6164017,68,True,4,17,10,0,0.39705882352941174,0,False,4,1,0,3,1,3,completed
exiv2.cve-2017-14859,B2,HARD,exiv2,False,False,False,False,mechanical,15.807213550000004,2700.977893,956,859346,100601,24807061,223,False,0,50,28,0,0.34977578475336324,1,True,17,1,3,13,2,5,anomaly:worker_stuck
faad2.cve-2018-20196,B2,EASY,faad2,False,False,False,False,mechanical,13.076115299999998,2700.872242,1035,920618,96423,19904521,243,False,0,73,24,0,0.3991769547325103,0,True,18,1,3,14,2,5,anomaly:worker_stuck
faad2.cve-2021-32272,B2,EASY,faad2,False,False,False,False,mechanical,4.188744250000001,971.039928,275,158651,29717,7181685,94,False,0,17,11,0,0.2978723404255319,0,True,5,1,1,3,2,3,completed
gpac.cve-2021-40575,B2,MEDIUM,gpac,False,False,False,False,mechanical,7.3552542500000015,2700.664814,887,1091305,56864,7646385,196,False,0,87,17,0,0.5306122448979592,0,True,18,1,3,14,2,5,anomaly:worker_stuck
gpac.cve-2022-1795,B2,MEDIUM,gpac,False,False,False,False,mechanical,4.115309,2700.988363,775,1121241,42498,0,28,True,2,8,0,0,0.2857142857142857,0,False,18,1,3,14,2,5,anomaly:worker_stuck
imagemagick.cve-2019-13309,B2,HARD,imagemagick,True,False,False,False,mechanical,5.062394050000001,2700.979336,708,928254,45818,2383361,74,True,2,33,2,0,0.47297297297297297,0,False,18,1,3,14,2,5,anomaly:worker_stuck
mruby.cve-2022-0240,B2,MEDIUM,mruby,True,False,False,False,mechanical,5.321906800000001,2701.432599,774,1107553,51131,2690356,36,False,0,7,0,0,0.19444444444444445,0,False,18,1,3,14,2,5,anomaly:worker_stuck
njs.cve-2022-32414,B2,EASY,njs,False,False,False,False,mechanical,6.541218599999999,2701.91798,811,1002487,57983,5327232,74,False,0,7,10,0,0.22972972972972974,0,False,18,1,3,14,2,5,anomaly:worker_stuck
njs.cve-2022-38890,B2,EASY,njs,False,False,False,False,mechanical,9.50452095,2701.034539,953,1122848,80236,11460054,145,False,0,46,17,0,0.43448275862068964,1,True,18,1,3,14,2,5,anomaly:worker_stuck
openjpeg.cve-2016-7445,B2,MEDIUM,openjpeg,False,False,False,False,mechanical,15.638578650000001,2700.855465,1053,836672,106657,24721538,269,False,0,78,46,0,0.46096654275092935,0,True,18,1,3,14,2,5,anomaly:worker_stuck
